Strength Level,Bodyweight Ratio,Exercise
Beginner,0.10x,Barbell Curl
Novice,0.20x,Barbell Curl
Intermediate,0.40x,Barbell Curl
Advanced,0.60x,Barbell Curl
Elite,0.85x,Barbell Curl
Beginner,0.25x,Barbell Shrug
Novice,0.50x,Barbell Shrug
Intermediate,1.00x,Barbell Shrug
Advanced,1.50x,Barbell Shrug
Elite,2.25x,Barbell Shrug
Beginner,0.25x,Bench Press
Novice,0.50x,Bench Press
Intermediate,0.75x,Bench Press
Advanced,1.00x,Bench Press
Elite,1.50x,Bench Press
Beginner,0.10x,Bent Over Dumbbell Row
Novice,0.20x,Bent Over Dumbbell Row
Intermediate,0.30x,Bent Over Dumbbell Row
Advanced,0.50x,Bent Over Dumbbell Row
Elite,0.70x,Bent Over Dumbbell Row
Beginner,0.25x,Bent Over Row
Novice,0.40x,Bent Over Row
Intermediate,0.65x,Bent Over Row
Advanced,0.90x,Bent Over Row
Elite,1.20x,Bent Over Row
Beginner,0.30x,Close Grip Bench Press
Novice,0.50x,Close Grip Bench Press
Intermediate,0.75x,Close Grip Bench Press
Advanced,1.05x,Close Grip Bench Press
Elite,1.35x,Close Grip Bench Press
Beginner,0.10x,Dumbbell Calf Raise
Novice,0.20x,Dumbbell Calf Raise
Intermediate,0.35x,Dumbbell Calf Raise
Advanced,0.50x,Dumbbell Calf Raise
Elite,0.70x,Dumbbell Calf Raise
Beginner,0.05x,Dumbbell Curl
Novice,0.10x,Dumbbell Curl
Intermediate,0.20x,Dumbbell Curl
Advanced,0.35x,Dumbbell Curl
Elite,0.45x,Dumbbell Curl
Beginner,0.05x,Dumbbell Lateral Raise
Novice,0.10x,Dumbbell Lateral Raise
Intermediate,0.15x,Dumbbell Lateral Raise
Advanced,0.20x,Dumbbell Lateral Raise
Elite,0.30x,Dumbbell Lateral Raise
Beginner,0.05x,Dumbbell Reverse Curl
Novice,0.10x,Dumbbell Reverse Curl
Intermediate,0.20x,Dumbbell Reverse Curl
Advanced,0.30x,Dumbbell Reverse Curl
Elite,0.45x,Dumbbell Reverse Curl
Beginner,0.10x,Dumbbell Shoulder Press
Novice,0.15x,Dumbbell Shoulder Press
Intermediate,0.25x,Dumbbell Shoulder Press
Advanced,0.35x,Dumbbell Shoulder Press
Elite,0.50x,Dumbbell Shoulder Press
Beginner,0.05x,Dumbbell Side Bend
Novice,0.15x,Dumbbell Side Bend
Intermediate,0.30x,Dumbbell Side Bend
Advanced,0.45x,Dumbbell Side Bend
Elite,0.70x,Dumbbell Side Bend
Beginner,0.15x,Goblet Squat
Novice,0.25x,Goblet Squat
Intermediate,0.40x,Goblet Squat
Advanced,0.60x,Goblet Squat
Elite,0.85x,Goblet Squat
Beginner,0.05x,Hammer Curl
Novice,0.15x,Hammer Curl
Intermediate,0.20x,Hammer Curl
Advanced,0.30x,Hammer Curl
Elite,0.40x,Hammer Curl
Beginner,0.10x,Incline Dumbbell Bench Press
Novice,0.20x,Incline Dumbbell Bench Press
Intermediate,0.30x,Incline Dumbbell Bench Press
Advanced,0.45x,Incline Dumbbell Bench Press
Elite,0.60x,Incline Dumbbell Bench Press
Beginner,0.05x,Lying Dumbbell Tricep Extension
Novice,0.10x,Lying Dumbbell Tricep Extension
Intermediate,0.20x,Lying Dumbbell Tricep Extension
Advanced,0.35x,Lying Dumbbell Tricep Extension
Elite,0.50x,Lying Dumbbell Tricep Extension
Beginner,0.20x,Military Press
Novice,0.35x,Military Press
Intermediate,0.55x,Military Press
Advanced,0.75x,Military Press
Elite,1.00x,Military Press
Beginner,0.50x,Romanian Deadlift
Novice,0.75x,Romanian Deadlift
Intermediate,1.00x,Romanian Deadlift
Advanced,1.50x,Romanian Deadlift
Elite,1.75x,Romanian Deadlift
Beginner,0.50x,Squat
Novice,0.75x,Squat
Intermediate,1.25x,Squat
Advanced,1.50x,Squat
Elite,2.00x,Squat
Beginner,0.00x,Wrist Curl
Novice,0.25x,Wrist Curl
Intermediate,0.50x,Wrist Curl
Advanced,1.00x,Wrist Curl
Elite,1.75x,Wrist Curl
